Test Case ID,Issue type,Test Case Title,Preconditions,Test Steps,Test Data,Expected Result,Status
TC_18,Task,View Category Products,Browser launched and user has internet access.,"1. Scroll to the category section.
2. Select a category and subcategory.
3. Verify product listing.",,Products displayed belong to the selected category.,Pass
TC_19,Task,View & add Brand Products,Browser launched and user has internet access.,"1. Go to the Products page.
2. Click a brand from the sidebar.
3. Verify that only brand-specific items appear.
4. Add one item to the cart.",Brand Name.,Brand-specific products displayed and added successfully.,Pass
TC_20,Task,Search Products and Verify Cart After Login,"Browser launched, user has internet access and logged in.","1. Search for a product.
2. Add it to the cart.
3. Log in with valid credentials.
4. Revisit cart.","Product name
Email: manual_user@gmail.com
Password: manual@user2025",Product remains in the cart after login.,Pass
TC_21,Task,Add Review on Product,Browser launched and user has internet access.,"1. Open a product’s detail page.
2. Scroll to Write Your Review.
3. Enter required details and click Submit.","Name: Manual User
 Email: manual_user@gmail.com
Review message",Thank you for your review. confirmation message displayed.,Pass
TC_22,Task,Add to Cart from Recommended items,Browser launched and user has internet access.,"1. Scroll to Recommended Items section.
2. Add a product to the cart.
3. View the cart.",,Selected product appears in cart.,Pass
TC_23,Task,Verify that user cannot procceed to checkout while cart is empty,User logged in and cart is empty,Click on cart while empty and look for proceed to ckeckout,,There is no proceed to checkout/ error message appears,Pass
TC_24,Task,Verify Address Details in Checkout Page,User must be logged in with saved address details.,"1. Log in.
2. Add a product to the cart.
3. Proceed to checkout.
4. Verify displayed billing and delivery addresses.",Valid address,Addresses match those in the user profile.,Pass
TC_25,Task,Download Invoice after purchase order,Completed order required.,"1. Complete an order successfully.
2. Click Download Invoice on the confirmation page.
3. Open the downloaded file.",Order ID,Invoice file downloads and displays correct order information.,Pass
TC_26,Task,Verify Scroll Up using 'Arrow' button and Scroll Down functionality,Browser launched and user has internet access.,"1. Scroll down the homepage.
2. Click the Arrow Up button.
3. Observe scroll behavior.",,Page smoothly scrolls to the top of the screen.,Pass
TC_27,Task,Verify Scroll Up without 'Arrow' button and Scroll Down functionality,Browser launched and user has internet access.,"1. Scroll down manually using the mouse.
2. Scroll back up to the top.
3. Verify the page scrolls smoothly.",,Page returns to the top; header is visible again.,Pass
